contract_id,personnel_id,est_id,ref_date,base_salary_lcu,gross_salary_lcu,net_salary_lcu,contract_type,occupation_native,occupation_english,occupation_isconame,occupation_iscocode,start_date,end_date,whours,paygrade,seniority,country_code,country_name,adm1_name,adm1_code
C000053,W08173,ORG0142,3/21/2024,4319.33,5568.72,3594.43,Open-term,Chauffeur,Accountant,Engineers,2141,2/17/2020,1/18/2027,40.1,P2,13,ZMB,Zambia,Central Province,ZMB03
C000054,W07751,ORG0264,6/25/2023,5112.12,5112.12,4425.44,Permanent,Chauffeur,Accountant,Technicians,2421,7/27/2017,12/14/2027,35.9,G6,27,ZMB,Zambia,Eastern Province,ZMB05
C000055,W01390,ORG0004,1/24/2023,4999.69,5646.83,4825.21,Permanent,Technicien,Accountant,Analysts,3115,8/28/2016,2/11/2028,41.7,G6,23,ZMB,Zambia,Central Province,ZMB04
C000056,W08564,ORG0249,6/15/2023,4144.61,4277.36,4277.36,Permanent,Comptable,Engineer,Engineers,2141,4/13/2017,5/9/2024,37.3,P1,9,ZMB,Zambia,Northern Province,ZMB04
C000057,W08583,ORG0133,7/8/2024,5917.73,5917.73,4996.56,Open-term,Technicien,Technician,Technicians,3115,10/31/2016,9/19/2024,35.6,G6,2,ZMB,Zambia,Eastern Province,ZMB03
C000058,W07951,ORG0081,9/13/2023,2768.27,5763.94,4043.17,Permanent,Comptable,Accountant,Drivers,3115,9/7/2020,11/4/2024,39.6,P2,23,ZMB,Zambia,Western Province,ZMB05
C000059,W08448,ORG0424,8/19/2024,3640.81,5781.31,2837.24,Open-term,Analyste,Accountant,Technicians,8322,5/24/2019,3/5/2027,41.7,G5,27,ZMB,Zambia,Central Province,ZMB02
C000060,W03317,ORG0341,8/24/2024,4054.53,5871.61,4086.63,Open-term,Chauffeur,Driver,Engineers,2141,5/6/2020,12/3/2028,38.9,G7,8,ZMB,Zambia,Western Province,ZMB01
C000061,W04456,ORG0394,8/31/2023,4602.03,5599.02,5458.85,Permanent,Chauffeur,Driver,Analysts,2421,2/27/2016,8/2/2025,43,P1,27,ZMB,Zambia,Central Province,ZMB05
C000062,W00951,ORG0102,8/1/2023,4316.69,5064.05,4488.3,Permanent,Analyste,Engineer,Engineers,3115,6/7/2018,2/3/2024,37.9,G6,29,ZMB,Zambia,Northern Province,ZMB05
C000063,W06088,ORG0238,7/2/2023,5539.54,5539.54,5539.54,Permanent,Technicien,Engineer,Engineers,2421,11/9/2022,5/13/2026,45.8,P1,17,ZMB,Zambia,Central Province,ZMB05
C000064,W01154,ORG0061,12/9/2024,4080.16,8033.13,5133.88,Permanent,Ingenieur,Engineer,Drivers,3115,10/15/2021,11/20/2025,35.2,G6,8,ZMB,Zambia,Western Province,ZMB04
C000065,W08748,ORG0026,8/30/2023,2487.14,2854.1,2854.1,Open-term,Analyste,Accountant,Engineers,8322,10/9/2015,4/9/2026,31.7,P1,6,ZMB,Zambia,Eastern Province,ZMB04
C000066,W03259,ORG0139,5/25/2023,4076.59,5008.52,3254.03,Permanent,Chauffeur,Accountant,Analysts,2141,9/5/2020,10/9/2027,40.6,G5,8,ZMB,Zambia,Western Province,ZMB05
C000067,W09574,ORG0147,7/1/2024,4876.79,5521.17,5492.54,Permanent,Ingenieur,Driver,Engineers,2411,10/19/2022,5/18/2026,40.5,P2,26,ZMB,Zambia,Eastern Province,ZMB03
C000068,W08888,ORG0143,7/2/2023,2548.85,7509.41,3983.35,Permanent,Ingenieur,Accountant,Accountants,2421,12/11/2015,9/21/2028,28.9,G5,1,ZMB,Zambia,Lusaka Province,ZMB03
C000069,W06579,ORG0220,3/1/2024,4456.52,4677.04,4677.04,Open-term,Technicien,Driver,Accountants,2141,2/6/2021,7/8/2027,35,G7,17,ZMB,Zambia,Western Province,ZMB04
C000070,W07993,ORG0304,10/16/2023,4016.16,4530.89,4352.99,Permanent,Analyste,Analyst,Analysts,8322,3/3/2023,5/17/2026,33.6,P2,11,ZMB,Zambia,Northern Province,ZMB04
C000071,W01330,ORG0059,2/9/2024,2479.95,3988.84,3988.84,Short-term,Analyste,Analyst,Accountants,2421,3/30/2020,6/4/2026,36.8,G7,25,ZMB,Zambia,Central Province,ZMB03
C000072,W04627,ORG0123,8/11/2023,4667.9,4667.9,3785.13,Permanent,Ingenieur,Driver,Engineers,2141,1/16/2020,11/21/2028,34.6,G5,16,ZMB,Zambia,Lusaka Province,ZMB03
C000073,W09730,ORG0494,12/21/2024,2311.9,4666.32,4354.72,Short-term,Chauffeur,Technician,Engineers,2141,9/20/2015,6/21/2025,37.9,G8,3,ZMB,Zambia,Eastern Province,ZMB05
C000074,W05037,ORG0295,5/16/2023,3961.43,6255.73,4907.49,Open-term,Chauffeur,Analyst,Accountants,8322,11/19/2019,12/2/2025,34.6,G5,12,ZMB,Zambia,Northern Province,ZMB05
C000075,W07914,ORG0487,7/9/2023,5286.71,5286.71,4733.5,Short-term,Comptable,Analyst,Technicians,8322,4/2/2022,12/13/2024,52.3,G7,6,ZMB,Zambia,Eastern Province,ZMB03
C000076,W07225,ORG0195,10/25/2023,4718.4,4718.4,4718.4,Permanent,Chauffeur,Accountant,Accountants,2141,8/27/2015,3/21/2025,38.1,G5,9,ZMB,Zambia,Western Province,ZMB03
C000077,W08535,ORG0034,12/10/2024,4416.08,6375.96,4378,Open-term,Technicien,Driver,Accountants,3115,4/9/2020,4/12/2025,36.7,G5,17,ZMB,Zambia,Western Province,ZMB02
C000078,W02710,ORG0271,12/8/2024,4019.51,4565,4187.74,Permanent,Ingenieur,Analyst,Drivers,2421,8/15/2015,7/24/2028,45.9,P2,13,ZMB,Zambia,Central Province,ZMB05
C000079,W02522,ORG0264,8/30/2024,3110.15,5038.53,4262.28,Permanent,Technicien,Analyst,Technicians,8322,8/6/2016,1/25/2027,33,G8,15,ZMB,Zambia,Central Province,ZMB04
C000080,W09706,ORG0266,2/5/2024,4837.78,5842.16,4540.22,Permanent,Analyste,Engineer,Accountants,2421,4/1/2019,5/11/2028,34,G7,5,ZMB,Zambia,Central Province,ZMB04
C000081,W05475,ORG0293,6/25/2024,4428.94,5250.49,5250.49,Short-term,Comptable,Technician,Accountants,2421,7/14/2020,7/27/2025,42,G8,20,ZMB,Zambia,Lusaka Province,ZMB01
C000082,W06028,ORG0199,7/18/2023,4731.64,5572.2,5038.25,Open-term,Analyste,Technician,Drivers,2421,9/25/2020,10/12/2026,46.4,G5,24,ZMB,Zambia,Central Province,ZMB04
C000083,W09439,ORG0224,12/14/2024,5071.83,5992.41,5992.41,Permanent,Analyste,Technician,Engineers,8322,7/24/2019,9/14/2024,35.9,G7,27,ZMB,Zambia,Western Province,ZMB05
C000084,W00263,ORG0029,10/29/2023,3003.44,3849.18,3849.18,Short-term,Ingenieur,Accountant,Engineers,2411,7/2/2020,9/19/2027,41.4,P1,0,ZMB,Zambia,Northern Province,ZMB02
C000085,W01112,ORG0330,5/8/2023,4882.22,4882.22,4193.63,Permanent,Technicien,Accountant,Engineers,2421,7/16/2021,2/25/2028,37.7,G6,23,ZMB,Zambia,Western Province,ZMB02
C000086,W09231,ORG0348,8/16/2023,5153.4,6227.85,4068.8,Short-term,Technicien,Driver,Engineers,2421,8/12/2022,8/13/2025,42.5,G6,19,ZMB,Zambia,Eastern Province,ZMB01
C000087,W01223,ORG0168,3/29/2024,4217.56,6238.34,6118.71,Permanent,Technicien,Analyst,Drivers,2141,9/8/2020,4/11/2028,42.6,G8,8,ZMB,Zambia,Central Province,ZMB01
C000088,W06285,ORG0362,11/13/2023,4160.92,4554.83,3386.44,Open-term,Comptable,Engineer,Engineers,2141,12/25/2018,9/27/2025,38.7,P2,21,ZMB,Zambia,Central Province,ZMB03
C000089,W00439,ORG0421,1/6/2023,3894.52,3894.52,3894.52,Open-term,Comptable,Analyst,Analysts,2421,12/30/2023,7/22/2025,38.1,P2,7,ZMB,Zambia,Western Province,ZMB03
C000090,W02588,ORG0396,10/31/2024,4887.13,5893.77,4090.74,Permanent,Technicien,Driver,Accountants,3115,2/24/2016,10/6/2026,43,G7,12,ZMB,Zambia,Lusaka Province,ZMB04
C000091,W07570,ORG0371,9/13/2024,3484.22,3817.96,3528.58,Permanent,Analyste,Driver,Drivers,3115,1/13/2022,6/5/2027,42.1,P2,23,ZMB,Zambia,Eastern Province,ZMB01
C000092,W01903,ORG0258,8/26/2023,2522.52,5308.71,5308.71,Short-term,Comptable,Accountant,Drivers,2141,10/26/2021,5/10/2027,41.5,G7,26,ZMB,Zambia,Central Province,ZMB03
C000093,W03915,ORG0145,10/12/2023,4120.66,6442.64,3704.3,Permanent,Technicien,Analyst,Drivers,2421,10/25/2021,7/20/2028,40.2,G6,27,ZMB,Zambia,Western Province,ZMB05
C000094,W09060,ORG0386,10/19/2023,4110.76,5234.42,5234.42,Permanent,Ingenieur,Driver,Analysts,2411,12/18/2023,11/30/2028,30.1,P1,16,ZMB,Zambia,Western Province,ZMB04
C000095,W03701,ORG0192,9/12/2024,5968.23,5968.23,4955.27,Permanent,Analyste,Accountant,Accountants,8322,1/8/2015,3/27/2028,42.3,G8,22,ZMB,Zambia,Western Province,ZMB04
C000096,W04196,ORG0014,6/9/2024,3849.83,5984.5,4369.56,Open-term,Analyste,Technician,Accountants,2141,10/28/2018,1/9/2028,45.6,P1,23,ZMB,Zambia,Northern Province,ZMB04
C000097,W02242,ORG0483,2/22/2023,4114.99,4560.85,4560.85,Permanent,Chauffeur,Analyst,Drivers,2411,6/4/2018,6/7/2028,43.1,G7,18,ZMB,Zambia,Lusaka Province,ZMB02
C000098,W02864,ORG0057,8/19/2024,3625.97,4961.95,4759.57,Short-term,Ingenieur,Engineer,Accountants,8322,10/6/2018,1/7/2024,40.9,G7,27,ZMB,Zambia,Lusaka Province,ZMB02
C000099,W02542,ORG0035,6/23/2023,3698.44,4496.57,4496.57,Open-term,Technicien,Technician,Engineers,2411,9/11/2016,2/8/2025,43.2,G6,1,ZMB,Zambia,Western Province,ZMB04
C000100,W01670,ORG0260,8/15/2024,2545.25,5000.34,4249.41,Permanent,Analyste,Analyst,Analysts,2141,8/11/2021,9/28/2024,35.9,P1,15,ZMB,Zambia,Central Province,ZMB05
C000101,W09326,ORG0426,4/28/2023,5610.17,7221.7,3466.67,Permanent,Comptable,Analyst,Engineers,2421,7/26/2020,4/25/2026,40.2,G5,27,ZMB,Zambia,Lusaka Province,ZMB03
C000102,W05207,ORG0081,2/17/2024,5194.27,5194.27,4969.54,Short-term,Analyste,Analyst,Drivers,2411,1/17/2020,1/25/2028,37.8,G7,10,ZMB,Zambia,Eastern Province,ZMB05
C000103,W04143,ORG0015,4/16/2023,4925.32,4925.32,4078.34,Short-term,Chauffeur,Accountant,Drivers,3115,3/14/2015,7/20/2027,33.9,P2,15,ZMB,Zambia,Lusaka Province,ZMB03
C000104,W08464,ORG0267,11/30/2023,4419.77,5369.2,4879.45,Short-term,Comptable,Accountant,Technicians,2411,7/12/2021,4/27/2024,40.1,P1,28,ZMB,Zambia,Northern Province,ZMB05
C000105,W03388,ORG0239,5/24/2023,3806.01,6625.78,3319.2,Open-term,Technicien,Accountant,Drivers,2421,10/19/2023,6/3/2026,37.1,G6,11,ZMB,Zambia,Central Province,ZMB02
C000106,W03506,ORG0144,10/21/2023,3730.31,5230.48,4338.4,Open-term,Technicien,Engineer,Analysts,2421,4/12/2019,4/24/2027,40.9,G8,25,ZMB,Zambia,Eastern Province,ZMB05
C000107,W09636,ORG0067,8/11/2023,2637.6,4838.47,2997.24,Open-term,Ingenieur,Accountant,Analysts,2141,5/16/2021,12/24/2027,41.4,G7,8,ZMB,Zambia,Northern Province,ZMB04
C000108,W03998,ORG0486,7/3/2024,3970.77,4361.74,4361.74,Short-term,Comptable,Accountant,Technicians,2141,3/27/2016,8/29/2025,39.8,P1,25,ZMB,Zambia,Central Province,ZMB03
C000109,W00980,ORG0143,7/9/2023,3360.21,4348.38,4348.38,Permanent,Chauffeur,Accountant,Accountants,3115,7/7/2023,6/14/2024,41.9,G6,28,ZMB,Zambia,Northern Province,ZMB01
C000110,W09029,ORG0455,10/18/2023,4296.75,5829.45,5418.11,Open-term,Chauffeur,Analyst,Technicians,3115,11/15/2020,12/18/2028,32.8,G5,17,ZMB,Zambia,Lusaka Province,ZMB03
C000111,W01511,ORG0246,9/12/2023,4240.17,4802.82,3115.77,Open-term,Chauffeur,Analyst,Drivers,8322,2/15/2016,4/30/2025,37.5,P1,7,ZMB,Zambia,Eastern Province,ZMB05
C000112,W00322,ORG0386,2/17/2023,3518.92,5454.61,4727.21,Short-term,Comptable,Accountant,Accountants,2421,7/29/2020,12/16/2028,33.1,P1,26,ZMB,Zambia,Northern Province,ZMB02
C000113,W03957,ORG0344,6/12/2023,4425.15,4468.64,4468.64,Permanent,Technicien,Driver,Accountants,2421,7/1/2016,12/9/2028,43.6,G5,6,ZMB,Zambia,Eastern Province,ZMB02
C000114,W04863,ORG0098,1/22/2024,3624.61,5274.94,4973.59,Open-term,Chauffeur,Engineer,Analysts,2421,2/23/2022,8/2/2026,41.7,G8,11,ZMB,Zambia,Northern Province,ZMB05
C000115,W01997,ORG0431,7/16/2024,6049.99,6049.99,5209.61,Short-term,Chauffeur,Driver,Accountants,8322,9/17/2021,9/6/2027,45.3,G7,19,ZMB,Zambia,Northern Province,ZMB04
C000116,W08516,ORG0188,1/5/2023,4151.74,4641.89,4641.89,Permanent,Analyste,Accountant,Drivers,2141,6/12/2020,10/30/2028,37.9,G7,3,ZMB,Zambia,Eastern Province,ZMB01
C000117,W09012,ORG0483,8/14/2023,4736.51,4736.51,4736.51,Permanent,Analyste,Engineer,Analysts,2411,6/18/2018,1/5/2025,41.2,G6,6,ZMB,Zambia,Central Province,ZMB04
C000118,W09191,ORG0311,4/29/2024,3715.08,6121.36,4238.8,Permanent,Ingenieur,Engineer,Engineers,8322,1/13/2016,11/17/2028,37,G8,19,ZMB,Zambia,Eastern Province,ZMB02
C000119,W04185,ORG0028,4/22/2024,3962.36,4400.38,2580.62,Permanent,Chauffeur,Analyst,Technicians,8322,11/26/2015,7/7/2024,43.9,G5,22,ZMB,Zambia,Central Province,ZMB01
C000120,W05485,ORG0329,6/10/2023,4343.3,4785.42,4414.78,Open-term,Comptable,Analyst,Accountants,2421,4/21/2017,7/26/2028,41.4,P1,22,ZMB,Zambia,Eastern Province,ZMB01
C000121,W01344,ORG0049,9/29/2024,4003.26,6921.96,4683.99,Open-term,Technicien,Accountant,Technicians,8322,11/23/2020,2/11/2027,40.1,G5,21,ZMB,Zambia,Central Province,ZMB04
C000122,W04005,ORG0475,11/20/2024,4288.87,6244.7,3706.3,Open-term,Chauffeur,Technician,Analysts,2421,3/1/2018,8/19/2028,38,P2,17,ZMB,Zambia,Lusaka Province,ZMB03
C000123,W07800,ORG0141,6/27/2023,4542.55,4542.55,3693.4,Open-term,Analyste,Technician,Analysts,2411,8/12/2020,1/6/2028,45.9,P2,14,ZMB,Zambia,Northern Province,ZMB01
C000124,W06641,ORG0099,7/11/2023,4406.49,4514.73,4514.73,Permanent,Comptable,Accountant,Analysts,2421,8/28/2023,7/30/2026,46.9,G5,11,ZMB,Zambia,Lusaka Province,ZMB01
C000125,W02529,ORG0455,10/9/2023,4230.46,5055.43,5055.43,Open-term,Comptable,Technician,Engineers,8322,12/20/2016,12/2/2028,48.2,G5,13,ZMB,Zambia,Lusaka Province,ZMB04
C000126,W01402,ORG0352,10/31/2024,3864.78,6626.12,4801.57,Permanent,Comptable,Accountant,Accountants,2141,6/12/2023,2/11/2024,29.8,G5,28,ZMB,Zambia,Lusaka Province,ZMB01
C000127,W00425,ORG0187,9/29/2024,3268.84,5916.59,4468.63,Short-term,Comptable,Analyst,Analysts,8322,11/16/2021,6/1/2024,38.2,P1,27,ZMB,Zambia,Western Province,ZMB04
C000128,W06203,ORG0159,11/11/2024,2596.39,4262.84,2336.4,Permanent,Analyste,Technician,Accountants,2141,4/23/2018,2/1/2025,37.4,P2,6,ZMB,Zambia,Western Province,ZMB01
C000129,W07662,ORG0001,10/10/2024,5168.73,6243.67,5012.8,Short-term,Chauffeur,Accountant,Accountants,8322,2/21/2018,2/1/2027,42.4,G5,8,ZMB,Zambia,Lusaka Province,ZMB03
C000130,W04174,ORG0241,8/19/2024,4545.66,5608.25,2697.17,Permanent,Comptable,Accountant,Analysts,2411,2/19/2015,1/26/2025,42.7,G7,13,ZMB,Zambia,Western Province,ZMB05
C000131,W04487,ORG0352,11/8/2023,4607.04,4607.04,3848.41,Permanent,Ingenieur,Engineer,Analysts,2141,2/16/2015,12/24/2024,41.2,P2,29,ZMB,Zambia,Western Province,ZMB05
